"ID","CategoryID","SkillCostsID","DisplayName_Lang_enUS","DisplayName_Lang_koKR","DisplayName_Lang_frFR","DisplayName_Lang_deDE","DisplayName_Lang_zhCN","DisplayName_Lang_zhTW","DisplayName_Lang_esES","DisplayName_Lang_esMX","DisplayName_Lang_ruRU","DisplayName_Lang_Unk","DisplayName_Lang_ptBR","DisplayName_Lang_itIT","DisplayName_Lang_Unk2","DisplayName_Lang_Unk3","DisplayName_Lang_Unk4","DisplayName_Lang_Unk5","DisplayName_Lang_Mask","Description_Lang_enUS","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_zhCN","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_Unk","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk2","Description_Lang_Unk3","Description_Lang_Unk4","Description_Lang_Unk5","Description_Lang_Mask","SpellIconID","AlternateVerb_Lang_enUS","AlternateVerb_Lang_koKR","AlternateVerb_Lang_frFR","AlternateVerb_Lang_deDE","AlternateVerb_Lang_zhCN","AlternateVerb_Lang_zhTW","AlternateVerb_Lang_esES","AlternateVerb_Lang_esMX","AlternateVerb_Lang_ruRU","AlternateVerb_Lang_Unk","AlternateVerb_Lang_ptBR","AlternateVerb_Lang_itIT","AlternateVerb_Lang_Unk2","AlternateVerb_Lang_Unk3","AlternateVerb_Lang_Unk4","AlternateVerb_Lang_Unk5","AlternateVerb_Lang_Mask","CanLink"
"6","7","0","Frost","","","","冰霜","冰霜","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","188","","","","","","","","","","","","","","","","","16712172","0"
"8","7","0","Fire","","","","火焰","火焰","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","183","","","","","","","","","","","","","","","","","16712172","0"
"26","7","0","Arms","","","","武器","武器","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","514","","","","","","","","","","","","","","","","","16712172","0"
"38","7","0","Combat","","","","战斗","戰鬥","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","243","","","","","","","","","","","","","","","","","16712172","0"
"39","7","0","Subtlety","","","","敏锐","敏銳","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","250","","","","","","","","","","","","","","","","","16712172","0"
"40","7","0","Poisons","","","","毒药","毒药","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","1"
"43","6","0","Swords","","","","单手剑","劍","","","","","","","","","","","16712191","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"44","6","0","Axes","","","","单手斧","斧","","","","","","","","","","","16712191","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"45","6","0","Bows","","","","弓","弓","","","","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"46","6","0","Guns","","","","枪械","槍械","","","","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"50","7","0","Beast Mastery","","","","野兽控制","野獸控制","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","255","","","","","","","","","","","","","","","","","16712172","0"
"51","7","0","Survival","","","","生存技能","生存技能","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","257","","","","","","","","","","","","","","","","","16712172","0"
"54","6","0","Maces","","","","单手锤","錘","","","","","","","","","","","16712191","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
